"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 23 14:22:29 GMT 2025","Sat Aug 23 14:22:32 GMT 2025","3146","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Aug 23 14:22:35 GMT 2025","Sat Aug 23 14:22:36 GMT 2025","1564","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Aug 23 14:22:38 GMT 2025","Sat Aug 23 14:22:41 GMT 2025","2679","LMS system","Courses","Courses","","","test_edit_course[chromium]",""
"passed","Sat Aug 23 14:22:40 GMT 2025","Sat Aug 23 14:22:40 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Aug 23 14:22:29 GMT 2025","Sat Aug 23 14:22:31 GMT 2025","1716","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 14:22:37 GMT 2025","Sat Aug 23 14:22:40 GMT 2025","2178","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Aug 23 14:22:40 GMT 2025","Sat Aug 23 14:22:40 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Aug 23 14:22:33 GMT 2025","Sat Aug 23 14:22:34 GMT 2025","1298","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Aug 23 14:22:31 GMT 2025","Sat Aug 23 14:22:33 GMT 2025","1668","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 14:22:40 GMT 2025","Sat Aug 23 14:22:40 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Aug 23 14:22:41 GMT 2025","Sat Aug 23 14:22:42 GMT 2025","1419","LMS system","Dashboard","Dashboard","","","Check displayning of dashboard page",""
"passed","Sat Aug 23 14:22:40 GMT 2025","Sat Aug 23 14:22:40 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Aug 23 14:22:33 GMT 2025","Sat Aug 23 14:22:34 GMT 2025","1455","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Aug 23 14:22:40 GMT 2025","Sat Aug 23 14:22:40 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Aug 23 14:22:40 GMT 2025","Sat Aug 23 14:22:40 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Sat Aug 23 14:22:36 GMT 2025","Sat Aug 23 14:22:37 GMT 2025","1456","LMS system","Courses","Courses","","","Check displayning of empty courses list",""
